name_of_faculty,Area of interest
Dr. Bhagavathi Sivakumar P. ,Predictive Analytics
Dr. Bhagavathi Sivakumar P. , Time Series Analysis and Forecasting
Dr. Bhagavathi Sivakumar P. , Data Mining
Dr. Bhagavathi Sivakumar P. , Machine Learning
Dr. Bhagavathi Sivakumar P. , Pattern Recognition
Dr. Bhagavathi Sivakumar P. , Computer Vision and Image Processing Applications
Dr. Bhagavathi Sivakumar P. , Internet of Things and Artificial & Computational Intelligence
Dr. M. Sethumadhavan ,Number Theory
Dr. M. Sethumadhavan , Cryptology
Dr. (Col.) Kumar P. N. ,Agent Based Modeling of Financial Markets
Dr. (Col.) Kumar P. N. , Business Intelligence
Dr. (Col.) Kumar P. N. , Data Analytics
Dr. Jeyakumar G. ,Evolutionary Computing
Dr. Jeyakumar G. , Parallel Algorithms
Dr. Shunmuga Velayutham C. ,Evolutionary Computing
Dr. Latha Parameswaran ,Image Processing
Dr. Latha Parameswaran , Information Retrieval
Dr. Latha Parameswaran , Image Mining
Dr. Latha Parameswaran , Information Security
Dr. Latha Parameswaran , Theoretical Computer Science
Baskar A. ,Computer Vision
Baskar A. , Image Processing
Baskar A. , Machine Learning
Baskar A. , Video Processing
Dr. Senthil Kumar T. ,Video Surveillance
Dr. Senthil Kumar T. , Cloud Computing
Dr. Senthil Kumar T. , Software Engineering
Dr. Senthil Kumar T. , Video Processing
Dr. Senthil Kumar T. , Wireless Sensor Networks (WSN)
Dr. Senthil Kumar T. , Big Data Computing
Dr. Senthil Kumar T. , Embedded Automation
Anupa Vijay  ,Computer Vision
Anupa Vijay  , Image Processing
Bharathi D. ,Image Processing
Anisha Radhakrishnan ,Data Structure
Anisha Radhakrishnan , Data Mining
Aarthi R. ,Image Processing
Aarthi R. , Computer Vision
Dr. Vidhya Balasubramanian ,Spatio-Temporal Data Management
Dr. Vidhya Balasubramanian , Information Retrieval
Dr. Vidhya Balasubramanian , Indoor Spatial Data Management
Dr. Vidhya Balasubramanian , Scalable Data Architectures
Dr. Vidhya Balasubramanian , Cyber Physical Systems
Dr. Prashant R. Nair ,Application of IT Tools for Supply Chain Management
Dr. Prashant R. Nair , Management Information System (MIS)
Dr. Prashant R. Nair , Electronic Business
Dr. Prashant R. Nair , Cyber Security
Bagyammal T. ,Image Processing
Bagyammal T. , Image Retrieval
Bagyammal T. , Video Processing
